<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
ROSN;D;03/09/24;000000;473.2;474.8;450.25;455.05;7177948
ROSN;D;04/09/24;000000;456.45;471.7;452.85;468.85;8079341
ROSN;D;05/09/24;000000;467.8;483.55;464;477.75;5754350
ROSN;D;06/09/24;000000;480.35;486.75;474.75;477.15;3722345
ROSN;D;07/09/24;000000;477.2;484.75;475;479.1;2093392
ROSN;D;10/09/24;000000;479.9;494.2;479.85;493.8;3004636
ROSN;D;11/09/24;000000;494.15;496.25;476.2;482.35;4005978
ROSN;D;12/09/24;000000;482.5;489.5;475.35;477.75;3206641
ROSN;D;13/09/24;000000;478.7;489.85;474.1;488.45;3693537
ROSN;D;14/09/24;000000;488.35;498.5;478;498;4975628
ROSN;D;17/09/24;000000;500.9;516.5;498.3;516.3;5143933
ROSN;D;18/09/24;000000;518.45;519.5;508.3;517.95;3063887
ROSN;D;19/09/24;000000;517.9;519.9;506.15;510.25;2681826
ROSN;D;20/09/24;000000;511.35;516.2;507.2;512.55;2817829
ROSN;D;21/09/24;000000;512.45;528.25;510.75;528.15;6627227
ROSN;D;24/09/24;000000;528.95;532;523.45;526.1;3956827
ROSN;D;25/09/24;000000;526.65;526.9;517.7;522.1;3266782
ROSN;D;26/09/24;000000;521.6;524.95;509.5;512.4;3025024
ROSN;D;27/09/24;000000;510.35;515.95;506;512.7;2866346
ROSN;D;28/09/24;000000;513.2;514.55;507.75;511;2195441
ROSN;D;01/10/24;000000;512.45;516.2;503.05;507.4;3071670
ROSN;D;02/10/24;000000;506;512.85;493.5;509.75;7107893
ROSN;D;03/10/24;000000;509.8;511.9;494;499.95;7061135
ROSN;D;04/10/24;000000;499.85;502.7;488.65;500;7574750
ROSN;D;05/10/24;000000;502.4;509.45;498.55;501.9;5660583
ROSN;D;08/10/24;000000;502.35;505.6;493.2;503.5;5638733
ROSN;D;09/10/24;000000;500.05;505;498;501.8;3779310
ROSN;D;10/10/24;000000;502.95;502.95;491.4;495.85;5221921
ROSN;D;11/10/24;000000;495.8;499.4;493.55;497.75;1972074
