<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
ROSN;60;02/09/24;110000;473.2;474.8;469.3;469.65;672001
ROSN;60;02/09/24;120000;469.65;472.3;466.05;468.75;762222
ROSN;60;02/09/24;130000;468.75;472.5;468.05;469.25;472250
ROSN;60;02/09/24;140000;469.5;473;469.5;471.65;488374
ROSN;60;02/09/24;150000;471.8;472;466.2;466.25;347778
ROSN;60;02/09/24;160000;466.35;466.35;460.65;461.05;521715
ROSN;60;02/09/24;170000;461.1;464;460.65;463.45;439300
ROSN;60;02/09/24;180000;463.6;468.35;463.3;464.5;709760
ROSN;60;02/09/24;190000;464.35;466.05;455.6;457.85;1374087
ROSN;60;02/09/24;200000;457.9;460.45;455.85;456.95;541732
ROSN;60;02/09/24;210000;457.1;457.3;451;452;370277
ROSN;60;02/09/24;220000;452;453.4;450.25;453.2;252575
ROSN;60;02/09/24;230000;453.2;455.5;452.8;454.65;158737
ROSN;60;03/09/24;000000;454.55;455.45;454.25;455.05;67140
ROSN;60;03/09/24;110000;456.45;465.45;452.85;456;1334953
ROSN;60;03/09/24;120000;456;466.3;455.5;465.3;1030652
ROSN;60;03/09/24;130000;465.3;469;461.75;468.85;997048
ROSN;60;03/09/24;140000;468.85;471.7;468.2;468.35;730988
ROSN;60;03/09/24;150000;468.4;468.5;463.4;464.35;541208
ROSN;60;03/09/24;160000;464.5;467.6;462.7;463.95;568431
ROSN;60;03/09/24;170000;464;466.7;463.55;465.75;468042
ROSN;60;03/09/24;180000;465.7;465.8;460.05;461.3;1104478
ROSN;60;03/09/24;190000;461.3;464.45;458.15;462.55;498979
ROSN;60;03/09/24;200000;463;466;462;462.95;224268
ROSN;60;03/09/24;210000;462.95;464.6;462.9;463.6;76336
ROSN;60;03/09/24;220000;463.6;469.3;463.6;467.7;275457
ROSN;60;03/09/24;230000;467.7;468.35;467.05;468.1;101816
ROSN;60;04/09/24;000000;468.1;468.95;466.65;468.85;126685
ROSN;60;04/09/24;110000;467.8;470.45;464;466.9;908920
ROSN;60;04/09/24;120000;467.05;470.7;466.4;466.6;609030
ROSN;60;04/09/24;130000;466.6;468;464.85;466.75;328755
ROSN;60;04/09/24;140000;466.65;469.7;465.7;469.5;278700
ROSN;60;04/09/24;150000;469.55;469.95;465;469.05;635357
ROSN;60;04/09/24;160000;469.05;475.35;468.9;473.5;1046570
ROSN;60;04/09/24;170000;473.5;475.1;472.35;473.1;647950
ROSN;60;04/09/24;180000;473.2;474.4;472.55;473.7;183702
ROSN;60;04/09/24;190000;473.7;476.15;472.65;475.25;361534
ROSN;60;04/09/24;200000;475.75;483.55;475.35;479.1;483061
ROSN;60;04/09/24;210000;479.1;479.5;478.2;479.2;116208
ROSN;60;04/09/24;220000;479;479.1;476.2;476.7;91560
ROSN;60;04/09/24;230000;476.7;477.45;476.4;477.4;35332
ROSN;60;05/09/24;000000;477.4;478;477.2;477.75;27671
ROSN;60;05/09/24;110000;480.35;480.7;474.75;476.65;559791
ROSN;60;05/09/24;120000;476.65;478.2;475.35;477.25;211463
ROSN;60;05/09/24;130000;477.25;484.2;477.15;482.35;530071
ROSN;60;05/09/24;140000;482.3;483.9;481;481.85;391130
ROSN;60;05/09/24;150000;481.85;485.75;481.5;483.65;422571
ROSN;60;05/09/24;160000;483.7;485;480.9;484.55;437794
ROSN;60;05/09/24;170000;484.7;486.75;482.75;483.1;269610
ROSN;60;05/09/24;180000;483.1;483.45;480.5;482.15;188148
ROSN;60;05/09/24;190000;482.1;482.2;480.35;480.4;281746
ROSN;60;05/09/24;200000;480.35;480.95;477.3;477.65;148798
ROSN;60;05/09/24;210000;477.85;480.6;477.6;479.35;96590
ROSN;60;05/09/24;220000;479.35;479.5;476.9;477.75;107286
ROSN;60;05/09/24;230000;477.75;478.3;476.7;476.8;45330
ROSN;60;06/09/24;000000;476.65;477.9;476.65;477.15;32017
ROSN;60;06/09/24;110000;477.2;480.9;476.05;478.8;284496
ROSN;60;06/09/24;120000;478.8;482;476.35;477.35;218901
ROSN;60;06/09/24;130000;477.35;478.35;476;477.55;213332
ROSN;60;06/09/24;140000;477.45;477.45;475;476.15;123034
ROSN;60;06/09/24;150000;476.2;477.65;475.3;476.15;97138
ROSN;60;06/09/24;160000;476.2;481.95;475.85;481.75;177296
ROSN;60;06/09/24;170000;481.8;484.75;481;483.65;197095
ROSN;60;06/09/24;180000;483.65;484;476.5;476.65;237440
ROSN;60;06/09/24;190000;476.65;477.5;475;476.4;264138
ROSN;60;06/09/24;200000;476.9;478.45;475.85;477.75;77717
ROSN;60;06/09/24;210000;477.75;478.85;477.55;478.4;62297
ROSN;60;06/09/24;220000;478.55;479.1;477.75;477.85;48376
ROSN;60;06/09/24;230000;477.85;479.75;477.8;479.45;47768
ROSN;60;07/09/24;000000;479.45;479.45;478.7;479.1;44364
ROSN;60;09/09/24;110000;479.9;483.85;479.85;482.7;423089
ROSN;60;09/09/24;120000;482.7;484.9;482.6;483.7;200068
ROSN;60;09/09/24;130000;483.7;487;483;486.25;223111
ROSN;60;09/09/24;140000;486.25;488.6;485.45;488.3;289788
ROSN;60;09/09/24;150000;488.3;488.3;486;487.1;144698
ROSN;60;09/09/24;160000;487.1;490.65;487.05;489.55;299029
ROSN;60;09/09/24;170000;489.5;490.2;488;488.95;213839
ROSN;60;09/09/24;180000;488.95;490.45;488.9;488.9;226644
ROSN;60;09/09/24;190000;488.95;489.95;486.45;489.95;278201
ROSN;60;09/09/24;200000;489.05;494;489.05;493.25;354524
ROSN;60;09/09/24;210000;493.4;493.9;492.15;492.8;131596
ROSN;60;09/09/24;220000;492.8;494;492.55;492.9;68232
ROSN;60;09/09/24;230000;492.95;493.8;492.25;493.7;54120
ROSN;60;10/09/24;000000;493.65;494.2;493.4;493.8;97697
ROSN;60;10/09/24;110000;494.15;496.25;490.2;490.5;561959
ROSN;60;10/09/24;120000;490.5;495.1;488.1;492.2;643493
ROSN;60;10/09/24;130000;492.3;492.8;488.6;490.2;346023
ROSN;60;10/09/24;140000;490.1;492.45;489.25;490.35;236214
ROSN;60;10/09/24;150000;490.3;490.95;488.1;488.25;247913
ROSN;60;10/09/24;160000;488.25;489;486.25;487.9;255529
ROSN;60;10/09/24;170000;488.1;488.8;487.5;488.75;92179
ROSN;60;10/09/24;180000;488.65;488.75;476.75;479.65;840504
ROSN;60;10/09/24;190000;479.55;480.25;477.1;478.9;191649
ROSN;60;10/09/24;200000;478.9;478.9;476.2;478.15;305769
ROSN;60;10/09/24;210000;478.15;480.45;478.15;478.6;73907
ROSN;60;10/09/24;220000;478.7;481;478.65;481;73311
ROSN;60;10/09/24;230000;480.85;483;480.4;482.9;92296
ROSN;60;11/09/24;000000;482.95;483;482;482.35;45232
ROSN;60;11/09/24;110000;482.5;483.9;478.55;480.2;345654
ROSN;60;11/09/24;120000;480.2;481.1;479.35;479.95;220279
ROSN;60;11/09/24;130000;480;480.9;478.25;479.75;114335
ROSN;60;11/09/24;140000;479.75;480.95;479;479.65;82265
ROSN;60;11/09/24;150000;479.65;480.2;477.25;479.9;194491
ROSN;60;11/09/24;160000;479.95;483.1;479.35;483;395809
ROSN;60;11/09/24;170000;482.95;485.5;482.3;484.25;355750
ROSN;60;11/09/24;180000;484.3;487.7;483.3;485;377103
ROSN;60;11/09/24;190000;485.1;489.5;484.15;487.8;276281
ROSN;60;11/09/24;200000;487.8;487.8;482.65;483.45;266772
ROSN;60;11/09/24;210000;483.45;484.8;479.25;479.7;215750
ROSN;60;11/09/24;220000;479.8;482.25;479;479.9;128890
ROSN;60;11/09/24;230000;479.8;479.8;475.35;477.45;165251
ROSN;60;12/09/24;000000;477.45;479.1;477.3;477.75;68011
ROSN;60;12/09/24;110000;478.7;480.95;476.1;477.2;400624
ROSN;60;12/09/24;120000;477.2;478.85;475.6;477.7;253973
ROSN;60;12/09/24;130000;477.8;478.45;474.1;476.45;534785
ROSN;60;12/09/24;140000;476.45;478.05;474.55;477.8;206537
ROSN;60;12/09/24;150000;477.75;479.25;477;478.3;221285
ROSN;60;12/09/24;160000;478.3;481.95;475.4;477.5;500343
ROSN;60;12/09/24;170000;477.4;480.75;477;480.75;236196
ROSN;60;12/09/24;180000;480.7;483;480.1;482.85;353358
ROSN;60;12/09/24;190000;482.75;484.7;482;483.5;252853
ROSN;60;12/09/24;200000;483.55;483.55;480.6;481.65;137257
ROSN;60;12/09/24;210000;481.7;484.3;481;484.2;90094
ROSN;60;12/09/24;220000;484.2;489.1;484.1;488.6;305054
ROSN;60;12/09/24;230000;488.75;489.85;487.6;487.9;117727
ROSN;60;13/09/24;000000;487.85;489.85;487.8;488.45;83451
ROSN;60;13/09/24;110000;488.35;489.35;481.35;482.5;798528
ROSN;60;13/09/24;120000;482.45;483.6;480.85;482.45;255456
ROSN;60;13/09/24;130000;482.3;483.3;481.6;481.85;168111
ROSN;60;13/09/24;140000;481.8;486;480.1;481.75;1022815
