<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
SBER;60;02/09/24;110000;254.03;254.2;250.4;250.5;16930320
SBER;60;02/09/24;120000;250.49;251.4;249.09;249.1;10803180
SBER;60;02/09/24;130000;249.1;250.34;247.6;249;11679430
SBER;60;02/09/24;140000;249.01;251.27;248.86;250.42;5458240
SBER;60;02/09/24;150000;250.4;250.5;248.1;248.55;3718440
SBER;60;02/09/24;160000;248.57;248.82;246.08;246.45;9910350
SBER;60;02/09/24;170000;246.42;247.28;245.11;246.08;9190530
SBER;60;02/09/24;180000;246.09;248.07;245.62;247.61;6969310
SBER;60;02/09/24;190000;247.6;248.44;245.76;245.87;4940720
SBER;60;02/09/24;200000;245.89;245.91;243.15;243.68;7144560
SBER;60;02/09/24;210000;243.76;243.93;242.65;243.4;5001620
SBER;60;02/09/24;220000;243.36;243.86;243;243.48;2197950
SBER;60;02/09/24;230000;243.45;244.65;243.35;243.87;2050550
SBER;60;03/09/24;000000;243.9;244.5;243.71;244.31;1571800
SBER;60;03/09/24;110000;244.39;246.79;240.01;240.45;23006180
SBER;60;03/09/24;120000;240.42;248.3;240.2;247.92;21220020
SBER;60;03/09/24;130000;247.93;249.16;246.62;247.43;11900130
SBER;60;03/09/24;140000;247.41;250;247.22;248.97;8370420
SBER;60;03/09/24;150000;248.97;249;245.71;246.13;6868850
SBER;60;03/09/24;160000;246.12;246.79;244;245.39;7867520
SBER;60;03/09/24;170000;245.39;246.7;244.45;245.04;4685270
SBER;60;03/09/24;180000;245.04;245.28;241.64;242.62;8871580
SBER;60;03/09/24;190000;242.62;243.7;241;242.8;5584550
SBER;60;03/09/24;200000;242.5;243.94;242.18;243.19;2633070
SBER;60;03/09/24;210000;243.19;243.99;243.1;243.47;942940
SBER;60;03/09/24;220000;243.5;244.8;243.05;244.52;1757770
SBER;60;03/09/24;230000;244.64;244.75;243.86;244.5;986560
SBER;60;04/09/24;000000;244.5;244.69;243.72;244.04;928800
SBER;60;04/09/24;110000;244.51;246.89;242.8;246.31;13313810
SBER;60;04/09/24;120000;246.33;247.89;245.46;246.01;7663330
SBER;60;04/09/24;130000;246.02;247.2;245.01;246.52;4805940
SBER;60;04/09/24;140000;246.51;247.88;246;247.86;3186980
SBER;60;04/09/24;150000;247.86;248.14;246.32;247.65;6147120
SBER;60;04/09/24;160000;247.65;249.28;247.57;248.19;6445940
SBER;60;04/09/24;170000;248.2;248.9;247.65;248.1;3852040
SBER;60;04/09/24;180000;248.09;248.96;247.73;248.77;3502510
SBER;60;04/09/24;190000;248.8;250;248.31;250;4941160
SBER;60;04/09/24;200000;250.47;251.91;250.05;251.59;5921190
SBER;60;04/09/24;210000;251.59;253.5;251.47;253.14;5103100
SBER;60;04/09/24;220000;253.13;253.5;251.53;252.47;3863900
SBER;60;04/09/24;230000;252.5;252.64;252.02;252.56;670810
SBER;60;05/09/24;000000;252.57;253.06;252.18;253.01;1210400
SBER;60;05/09/24;110000;255;255.5;251.11;252.92;17285200
SBER;60;05/09/24;120000;252.88;253.39;251.89;252.56;4520490
SBER;60;05/09/24;130000;252.56;255.45;252.18;255.19;9248700
SBER;60;05/09/24;140000;255.19;255.44;254.31;255;3472300
SBER;60;05/09/24;150000;255;255.9;254.91;255.77;4469180
SBER;60;05/09/24;160000;255.77;258.17;255.62;256.85;12748460
SBER;60;05/09/24;170000;256.85;257.53;255.62;255.84;5504780
